date,putin nazi
2017-02-25,15.504291845493562
2017-02-26,15.504291845493562
2017-02-27,6.8218884120171674
2017-02-28,6.8218884120171674
2017-03-01,3.4109442060085837
2017-03-02,10.511802575107296
2017-03-03,0.0
2017-03-04,11.94206008583691
2017-03-05,14.081545064377682
2017-03-06,3.100858369098712
2017-03-07,7.100858369098712
2017-03-08,6.511802575107296
2017-03-09,0.0
2017-03-10,11.410944206008583
2017-03-11,0.0
2017-03-12,4.5
2017-03-13,81.00858369098712
2017-03-14,17.42274678111588
2017-03-15,13.92274678111588
2017-03-16,0.0
2017-03-17,7.410944206008583
2017-03-18,11.94206008583691
2017-03-19,3.721030042918455
2017-03-20,8.96137339055794
2017-03-21,0.0
2017-03-22,3.100858369098712
2017-03-23,7.410944206008583
2017-03-24,7.410944206008583
2017-03-25,4.031115879828326
2017-03-26,3.721030042918455
2017-03-27,3.100858369098712
2017-03-28,7.410944206008583
2017-03-29,4.0
2017-03-30,7.410944206008583
2017-03-31,11.410944206008583
2017-04-01,13.031115879828327
2017-04-02,9.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,8.0
2017-04-06,8.0
2017-04-07,0.0
2017-04-08,9.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,16.0
2017-04-13,17.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,10.0
2017-04-17,0.0
2017-04-18,8.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,16.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,8.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,9.0
2017-05-02,0.0
2017-05-03,8.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,19.0
2017-05-07,0.0
2017-05-08,16.0
2017-05-09,8.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,8.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,16.0
2017-05-17,8.0
2017-05-18,0.0
2017-05-19,8.0
2017-05-20,0.0
2017-05-21,9.0
2017-05-22,8.0
2017-05-23,0.0
2017-05-24,16.0
2017-05-25,8.0
2017-05-26,17.0
2017-05-27,10.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,8.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,8.0
2017-06-03,0.0
