date,obama golf
2017-03-03,6.291792316172117
2017-03-04,14.035139345681149
2017-03-05,22.115362189444532
2017-03-06,22.59097327879158
2017-03-07,11.736413909969663
2017-03-08,8.892709747364776
2017-03-09,3.5174557911135813
2017-03-10,9.2642693803923
2017-03-11,13.187968623306578
2017-03-12,23.67096835910097
2017-03-13,17.309808405382505
2017-03-14,18.563222579557774
2017-03-15,10.854559368821917
2017-03-16,15.823569873272415
2017-03-17,28.000911053815948
2017-03-18,41.8973151244044
2017-03-19,51.77593086923645
2017-03-20,57.65151736013046
2017-03-21,43.45292129406084
2017-03-22,34.18865191366854
2017-03-23,21.33755910461631
2017-03-24,19.142885125224346
2017-03-25,23.299408726073448
2017-03-26,52.42496105244937
2017-03-27,75.55095068465695
2017-03-28,54.43625356449805
2017-03-29,30.60182848500861
2017-03-30,20.62912365733444
2017-03-31,18.934782212585297
2017-04-01,18.087611490210726
2017-04-02,23.562120204440475
2017-04-03,29.24952852965025
2017-04-04,18.687198782832102
2017-04-05,21.937146397237687
2017-04-06,17.874711879230706
2017-04-07,17.874711879230706
2017-04-08,31.686989240454434
2017-04-09,26.81206781884606
2017-04-10,35.74942375846141
2017-04-11,41.436832083671185
2017-04-12,34.12444995125862
2017-04-13,23.562120204440475
2017-04-14,37.374397565664204
2017-04-15,39.81185827646839
2017-04-16,26.81206781884606
2017-04-17,31.686989240454434
2017-04-18,27.624554722447456
2017-04-19,11.37481665041954
2017-04-20,14.624764264825124
2017-04-21,13.812277361223728
2017-04-22,16.249738072027917
2017-04-23,8.937355939615353
2017-04-24,17.06222497562931
2017-04-25,15.437251168426519
2017-04-26,13.812277361223728
2017-04-27,12.187303554020936
2017-04-28,12.187303554020936
2017-04-29,17.874711879230706
2017-04-30,17.06222497562931
2017-05-01,11.37481665041954
2017-05-02,6.499895228811166
2017-05-03,10.562329746818145
2017-05-04,4.8749214216083745
2017-05-05,11.37481665041954
2017-05-06,8.937355939615353
2017-05-07,8.937355939615353
2017-05-08,8.937355939615353
2017-05-09,5.68740832520977
2017-05-10,4.062434518006979
2017-05-11,5.68740832520977
2017-05-12,8.124869036013958
2017-05-13,8.124869036013958
2017-05-14,17.874711879230706
2017-05-15,7.312382132412562
2017-05-16,12.187303554020936
2017-05-17,12.999790457622332
2017-05-18,7.312382132412562
2017-05-19,5.68740832520977
2017-05-20,7.312382132412562
2017-05-21,8.937355939615353
2017-05-22,4.062434518006979
2017-05-23,10.562329746818145
2017-05-24,5.68740832520977
2017-05-25,4.062434518006979
2017-05-26,18.687198782832102
2017-05-27,13.812277361223728
2017-05-28,11.37481665041954
2017-05-29,3.249947614405583
2017-05-30,8.937355939615353
2017-05-31,4.062434518006979
2017-06-01,4.062434518006979
2017-06-02,9.749842843216749
2017-06-03,8.937355939615353
