date,employment
2017-03-20,90.84892285582566
2017-03-21,93.71783620916753
2017-03-22,87.98132491438355
2017-03-23,86.06608518835617
2017-03-24,76.50698691291583
2017-03-25,50.20401056563299
2017-03-26,52.5967448112675
2017-03-27,92.28272182654673
2017-03-28,90.84760744392594
2017-03-29,89.88998758091222
2017-03-30,85.5899060806488
2017-03-31,76.98053519682372
2017-04-01,50.20532597753274
2017-04-02,51.569408117567356
2017-04-03,93.58892584299261
2017-04-04,90.72395872534997
2017-04-05,91.67894776456419
2017-04-06,85.94901352927893
2017-04-07,76.39912313713683
2017-04-08,48.70444099992473
2017-04-09,52.52439715678157
2017-04-10,91.67894776456419
2017-04-11,89.76896968613576
2017-04-12,90.72395872534997
2017-04-13,82.12905737242208
2017-04-14,64.9392546665663
2017-04-15,47.749451960710516
2017-04-16,42.974506764639465
2017-04-17,87.85899160770735
2017-04-18,92.6339368037784
2017-04-19,88.81398064692156
2017-04-20,84.0390354508505
2017-04-21,76.39912313713683
2017-04-22,47.749451960710516
2017-04-23,51.569408117567356
2017-04-24,89.76896968613576
2017-04-25,92.6339368037784
2017-04-26,89.76896968613576
2017-04-27,86.90400256849314
2017-04-28,73.53415601949419
2017-04-29,44.88448484306788
2017-04-30,47.749451960710516
2017-05-01,88.81398064692156
2017-05-02,91.67894776456419
2017-05-03,87.85899160770735
2017-05-04,84.0390354508505
2017-05-05,81.17406833320787
2017-05-06,50.614419078353144
2017-05-07,51.569408117567356
2017-05-08,93.58892584299261
2017-05-09,91.67894776456419
2017-05-10,88.81398064692156
2017-05-11,88.81398064692156
2017-05-12,76.39912313713683
2017-05-13,49.65943003913893
2017-05-14,44.88448484306788
2017-05-15,90.72395872534997
2017-05-16,95.49890392142103
2017-05-17,90.72395872534997
2017-05-18,87.85899160770735
2017-05-19,80.21907929399366
2017-05-20,56.34435331363841
2017-05-21,52.52439715678157
2017-05-22,89.76896968613576
2017-05-23,89.76896968613576
2017-05-24,87.85899160770735
2017-05-25,88.81398064692156
2017-05-26,76.39912313713683
2017-05-27,46.794462921496304
2017-05-28,45.83947388228209
2017-05-29,63.98426562735209
2017-05-30,91.67894776456419
2017-05-31,91.67894776456419
2017-06-01,86.90400256849314
2017-06-02,78.30910121556525
2017-06-03,49.65943003913893
