date,hanukkah
2016-10-23,1.0322683706070288
2016-10-24,1.1626198083067092
2016-10-25,1.0757188498402557
2016-10-26,1.1191693290734825
2016-10-27,1.0431309904153354
2016-10-28,1.1083067092651757
2016-10-29,1.0322683706070288
2016-10-30,1.2169329073482427
2016-10-31,1.7712460063897764
2016-11-01,2.086261980830671
2016-11-02,2.0
2016-11-03,2.0
2016-11-04,2.0
2016-11-05,2.0
2016-11-06,2.0
2016-11-07,2.0
2016-11-08,2.0
2016-11-09,2.0
2016-11-10,2.0
2016-11-11,2.0
2016-11-12,2.0
2016-11-13,2.0
2016-11-14,2.0
2016-11-15,3.0
2016-11-16,3.0
2016-11-17,3.0
2016-11-18,3.0
2016-11-19,3.0
2016-11-20,3.0
2016-11-21,4.0
2016-11-22,4.0
2016-11-23,4.0
