date,abedin huma
2017-04-13,0.4343891402714932
2017-04-14,0.4343891402714932
2017-04-15,0.4343891402714932
2017-04-16,0.2171945701357466
2017-04-17,0.6515837104072398
2017-04-18,0.8687782805429864
2017-04-19,1.9547511312217196
2017-04-20,0.6515837104072398
2017-04-21,0.4343891402714932
2017-04-22,0.4343891402714932
2017-04-23,0.4343891402714932
2017-04-24,0.4343891402714932
2017-04-25,0.2171945701357466
2017-04-26,0.4343891402714932
2017-04-27,0.4343891402714932
2017-04-28,0.2171945701357466
2017-04-29,0.2171945701357466
2017-04-30,0.4343891402714932
2017-05-01,0.4343891402714932
2017-05-02,1.0859728506787332
2017-05-03,2.1719457013574663
2017-05-04,2.6063348416289593
2017-05-05,1.0859728506787332
2017-05-06,0.4343891402714932
2017-05-07,0.8687782805429864
2017-05-08,0.4343891402714932
2017-05-09,4.126696832579186
2017-05-10,3.6923076923076925
2017-05-11,0.8687782805429864
2017-05-12,0.6515837104072398
2017-05-13,0.4343891402714932
2017-05-14,0.4343891402714932
2017-05-15,0.4343891402714932
2017-05-16,0.2171945701357466
2017-05-17,0.4343891402714932
2017-05-18,0.2171945701357466
2017-05-19,13.46606334841629
2017-05-20,21.71945701357466
2017-05-21,3.9095022624434392
2017-05-22,1.5203619909502262
2017-05-23,0.8687782805429864
2017-05-24,0.4343891402714932
2017-05-25,0.4343891402714932
2017-05-26,0.4343891402714932
2017-05-27,0.4343891402714932
2017-05-28,0.6515837104072398
2017-05-29,0.4343891402714932
2017-05-30,0.4343891402714932
2017-05-31,1.3031674208144797
2017-06-01,0.8687782805429864
2017-06-02,0.4343891402714932
2017-06-03,0.4343891402714932
