date,steak
2016-11-03,42.55670103092784
2016-11-04,45.52577319587629
2016-11-05,59.381443298969074
2016-11-06,59.381443298969074
2016-11-07,45.52577319587629
2016-11-08,44.5360824742268
2016-11-09,37.608247422680414
2016-11-10,42.55670103092784
2016-11-11,48.49484536082474
2016-11-12,61.36082474226804
2016-11-13,60.371134020618555
2016-11-14,44.5360824742268
2016-11-15,45.52577319587629
2016-11-16,45.52577319587629
2016-11-17,44.5360824742268
2016-11-18,45.52577319587629
2016-11-19,57.402061855670105
2016-11-20,59.381443298969074
2016-11-21,43.54639175257732
2016-11-22,41.56701030927835
2016-11-23,40.577319587628864
2016-11-24,37.608247422680414
2016-11-25,36.618556701030926
2016-11-26,49.48453608247423
2016-11-27,51.4639175257732
2016-11-28,40.577319587628864
2016-11-29,42.55670103092784
