date,event
2017-01-10,32.75757575757576
2017-01-11,32.24573863636363
2017-01-12,33.26941287878788
2017-01-13,34.293087121212125
2017-01-14,27.127367424242426
2017-01-15,26.615530303030305
2017-01-16,30.710227272727273
2017-01-17,34.80492424242424
2017-01-18,32.75757575757576
2017-01-19,34.80492424242424
2017-01-20,31.733901515151516
2017-01-21,28.151041666666668
2017-01-22,25.591856060606062
2017-01-23,32.24573863636363
2017-01-24,34.80492424242424
2017-01-25,32.75757575757576
2017-01-26,31.222064393939394
2017-01-27,33.78125
2017-01-28,27.639204545454547
2017-01-29,26.103693181818183
2017-01-30,31.733901515151516
2017-01-31,34.80492424242424
2017-02-01,32.24573863636363
2017-02-02,33.26941287878788
2017-02-03,34.293087121212125
2017-02-04,28.66287878787879
2017-02-05,25.08001893939394
2017-02-06,31.733901515151516
2017-02-07,34.293087121212125
2017-02-08,34.80492424242424
2017-02-09,36.34043560606061
2017-02-10,33.78125
2017-02-11,29.17471590909091
2017-02-12,28.151041666666668
2017-02-13,34.293087121212125
2017-02-14,34.80492424242424
2017-02-15,34.293087121212125
2017-02-16,33.26941287878788
2017-02-17,33.78125
2017-02-18,28.151041666666668
2017-02-19,26.615530303030305
2017-02-20,31.222064393939394
2017-02-21,33.78125
2017-02-22,34.293087121212125
2017-02-23,33.26941287878788
2017-02-24,34.293087121212125
2017-02-25,29.17471590909091
2017-02-26,28.151041666666668
2017-02-27,34.293087121212125
2017-02-28,35.31676136363637
2017-03-01,34.13381603243417
2017-03-02,34.186873522070414
2017-03-03,35.25423636655573
2017-03-04,30.110914327523794
2017-03-05,28.990493993402232
2017-03-06,33.72809389049454
2017-03-07,33.72809389049454
2017-03-08,33.52523281952473
2017-03-09,33.72809389049454
2017-03-10,34.186873522070414
2017-03-11,29.65213469594792
2017-03-12,27.667212588310854
2017-03-13,32.66073104600923
2017-03-14,33.52523281952473
2017-03-15,34.186873522070414
2017-03-16,33.216256769282424
2017-03-17,33.472175329888486
2017-03-18,28.275795801220298
2017-03-19,26.64353834588661
2017-03-20,33.93095496146435
2017-03-21,34.8485142246161
2017-03-22,33.675036400858296
2017-03-23,35.51015492716179
2017-03-24,35.05137529558591
2017-03-25,30.51663646946342
2017-03-26,28.584771851462605
2017-03-27,35.36035134582822
2017-03-28,35.307293856191976
2017-03-29,39.180391979768785
2017-03-30,35.56321241679804
2017-03-31,35.05137529558591
2017-04-01,29.39621613534186
2017-04-02,27.183383509955043
2017-04-03,34.48638206486834
2017-04-04,34.892104206807964
2017-04-05,34.892104206807964
2017-04-06,34.892104206807964
2017-04-07,34.48638206486834
2017-04-08,30.429160645472063
2017-04-09,29.21199421965318
2017-04-10,35.703548490687226
2017-04-11,40.57221419396275
2017-04-12,38.543603484264615
2017-04-13,40.16649205202312
2017-04-14,36.92071491650611
2017-04-15,29.61771636159281
2017-04-16,27.58910565189467
2017-04-17,32.4577713551702
2017-04-18,35.29782634874759
2017-04-19,36.10927063262685
2017-04-20,37.326437058445734
2017-04-21,35.703548490687226
2017-04-22,30.429160645472063
2017-04-23,28.806272077713555
2017-04-24,36.92071491650611
2017-04-25,35.29782634874759
2017-04-26,33.67493778098908
2017-04-27,35.29782634874759
2017-04-28,34.892104206807964
2017-04-29,32.4577713551702
2017-04-30,30.023438503532436
2017-05-01,34.08065992292871
2017-05-02,36.51499277456648
2017-05-03,35.703548490687226
2017-05-04,36.92071491650611
2017-05-05,35.29782634874759
2017-05-06,32.052049213230575
2017-05-07,29.61771636159281
2017-05-08,34.48638206486834
2017-05-09,34.08065992292871
2017-05-10,33.67493778098908
2017-05-11,33.67493778098908
2017-05-12,33.269215639049456
2017-05-13,28.400549935773928
2017-05-14,24.74905065831728
2017-05-15,31.646327071290948
2017-05-16,33.67493778098908
2017-05-17,34.08065992292871
2017-05-18,35.703548490687226
2017-05-19,34.48638206486834
2017-05-20,29.61771636159281
2017-05-21,26.777661368015416
2017-05-22,32.86349349710983
2017-05-23,37.326437058445734
2017-05-24,33.67493778098908
2017-05-25,32.86349349710983
2017-05-26,31.646327071290948
2017-05-27,27.183383509955043
2017-05-28,26.37193922607579
2017-05-29,28.400549935773928
2017-05-30,32.4577713551702
2017-05-31,32.86349349710983
2017-06-01,33.269215639049456
2017-06-02,33.269215639049456
2017-06-03,30.023438503532436
