date,scandal
2016-11-03,64.04026845637584
2016-11-04,65.0255033557047
2016-11-05,75.86308724832215
2016-11-06,70.93691275167785
2016-11-07,63.05503355704698
2016-11-08,60.09932885906041
2016-11-09,66.99597315436242
2016-11-10,63.05503355704698
2016-11-11,70.93691275167785
2016-11-12,91.6268456375839
2016-11-13,81.77449664429531
2016-11-14,70.93691275167785
2016-11-15,66.99597315436242
2016-11-16,66.01073825503356
2016-11-17,66.99597315436242
2016-11-18,64.04026845637584
2016-11-19,67.98120805369128
2016-11-20,63.05503355704698
2016-11-21,56.15838926174497
2016-11-22,83.74496644295303
2016-11-23,78.81879194630872
2016-11-24,77.83355704697986
2016-11-25,73.89261744966443
2016-11-26,74.87785234899329
2016-11-27,75.86308724832215
2016-11-28,64.04026845637584
2016-11-29,57.14362416107383
