date,white supremacist
2017-03-08,5.958823529411765
2017-03-09,7.294117647058824
2017-03-10,5.905882352941177
2017-03-11,5.182352941176471
2017-03-12,6.300000000000001
2017-03-13,5.570588235294117
2017-03-14,6.129411764705882
2017-03-15,5.570588235294117
2017-03-16,6.352941176470589
2017-03-17,5.800000000000001
2017-03-18,5.741176470588235
2017-03-19,4.235294117647059
2017-03-20,6.188235294117647
2017-03-21,5.511764705882353
2017-03-22,7.470588235294118
2017-03-23,15.100000000000001
2017-03-24,14.429411764705883
2017-03-25,7.523529411764706
2017-03-26,6.182352941176471
2017-03-27,7.188235294117647
2017-03-28,8.470588235294118
2017-03-29,7.023529411764706
2017-03-30,7.241176470588235
2017-03-31,5.347058823529412
2017-04-01,6.852941176470589
2017-04-02,5.364705882352942
2017-04-03,4.694117647058824
2017-04-04,5.141176470588236
2017-04-05,8.71764705882353
2017-04-06,4.694117647058824
2017-04-07,4.91764705882353
2017-04-08,4.023529411764706
2017-04-09,5.588235294117648
2017-04-10,4.023529411764706
2017-04-11,3.5764705882352943
2017-04-12,4.023529411764706
2017-04-13,6.035294117647059
2017-04-14,4.023529411764706
2017-04-15,3.5764705882352943
2017-04-16,12.741176470588236
2017-04-17,12.294117647058824
2017-04-18,9.164705882352942
2017-04-19,10.729411764705883
2017-04-20,11.176470588235295
2017-04-21,7.152941176470589
2017-04-22,7.376470588235295
2017-04-23,6.705882352941177
2017-04-24,7.376470588235295
2017-04-25,4.470588235294118
2017-04-26,1.7882352941176471
2017-04-27,6.258823529411765
2017-04-28,5.364705882352942
2017-04-29,8.047058823529412
2017-04-30,15.200000000000001
2017-05-01,16.988235294117647
2017-05-02,5.811764705882354
2017-05-03,5.141176470588236
2017-05-04,7.376470588235295
2017-05-05,7.152941176470589
2017-05-06,4.023529411764706
2017-05-07,6.705882352941177
2017-05-08,3.3529411764705883
2017-05-09,4.023529411764706
2017-05-10,7.376470588235295
2017-05-11,8.047058823529412
2017-05-12,4.247058823529412
2017-05-13,8.047058823529412
2017-05-14,22.35294117647059
2017-05-15,14.529411764705882
2017-05-16,9.388235294117647
2017-05-17,6.258823529411765
2017-05-18,5.141176470588236
2017-05-19,6.035294117647059
2017-05-20,8.270588235294118
2017-05-21,7.6000000000000005
2017-05-22,8.047058823529412
2017-05-23,12.51764705882353
2017-05-24,10.505882352941176
2017-05-25,8.494117647058824
2017-05-26,5.588235294117648
2017-05-27,10.729411764705883
2017-05-28,18.55294117647059
2017-05-29,17.658823529411766
2017-05-30,15.423529411764706
2017-05-31,12.294117647058824
2017-06-01,7.152941176470589
2017-06-02,7.376470588235295
2017-06-03,7.6000000000000005
