date,pepe
2017-04-19,43.754704600794554
2017-04-20,45.77415250544661
2017-04-21,43.754704600794554
2017-04-22,49.139899013200036
2017-04-23,44.42785390234524
2017-04-24,42.40840599769318
2017-04-25,43.08155529924387
2017-04-26,59.910287838011
2017-04-27,45.77415250544661
2017-04-28,43.754704600794554
2017-04-29,48.46674971164935
2017-04-30,44.42785390234524
2017-05-01,43.754704600794554
2017-05-02,41.73525669614249
2017-05-03,39.04265948993975
2017-05-04,40.388958093041126
2017-05-05,43.08155529924387
2017-05-06,46.447301806997295
2017-05-07,49.139899013200036
2017-05-08,46.447301806997295
2017-05-09,53.178794822504145
2017-05-10,49.139899013200036
2017-05-11,45.10100320389592
2017-05-12,45.77415250544661
2017-05-13,59.237138536460314
2017-05-14,51.15934691785209
2017-05-15,41.06210739459181
2017-05-16,40.388958093041126
2017-05-17,40.388958093041126
2017-05-18,41.06210739459181
2017-05-19,40.388958093041126
2017-05-20,43.08155529924387
2017-05-21,43.754704600794554
2017-05-22,37.0232115852877
2017-05-23,38.36951018838907
2017-05-24,37.696360886838384
2017-05-25,40.388958093041126
2017-05-26,41.73525669614249
2017-05-27,43.08155529924387
2017-05-28,42.40840599769318
2017-05-29,36.35006228373701
2017-05-30,37.0232115852877
2017-05-31,38.36951018838907
2017-06-01,39.71580879149044
2017-06-02,43.754704600794554
2017-06-03,51.83249621940278
