date,snl
2016-10-30,22.93452380952381
2016-10-31,11.717261904761905
2016-11-01,8.035714285714286
2016-11-02,7.0
2016-11-03,6.0
2016-11-04,8.0
2016-11-05,11.0
2016-11-06,47.0
2016-11-07,23.0
2016-11-08,18.0
2016-11-09,11.0
2016-11-10,7.0
2016-11-11,8.0
2016-11-12,10.0
2016-11-13,82.0
2016-11-14,44.0
2016-11-15,19.0
2016-11-16,11.0
2016-11-17,9.0
2016-11-18,9.0
2016-11-19,10.0
2016-11-20,41.0
2016-11-21,26.0
2016-11-22,15.0
2016-11-23,11.0
2016-11-24,14.0
2016-11-25,9.0
2016-11-26,9.0
2016-11-27,14.0
2016-11-28,8.0
2016-11-29,6.0
2016-11-30,5.0
2016-12-01,6.0
2016-12-02,6.0
2016-12-03,7.0
2016-12-04,36.0
2016-12-05,21.0
2016-12-06,10.0
2016-12-07,7.0
2016-12-08,7.0
2016-12-09,6.0
2016-12-10,7.0
2016-12-11,30.0
2016-12-12,15.0
2016-12-13,8.0
2016-12-14,7.0
2016-12-15,9.0
2016-12-16,7.0
2016-12-17,8.0
2016-12-18,41.0
2016-12-19,23.0
2016-12-20,12.0
2016-12-21,10.0
2016-12-22,9.0
2016-12-23,9.0
2016-12-24,11.0
2016-12-25,13.0
2016-12-26,8.0
2016-12-27,6.0
2016-12-28,5.0
2016-12-29,5.0
2016-12-30,6.0
2016-12-31,6.0
2017-01-01,9.0
2017-01-02,5.0
2017-01-03,5.0
2017-01-04,4.0
2017-01-05,6.0
2017-01-06,8.0
2017-01-07,7.0
2017-01-08,12.0
2017-01-09,6.0
2017-01-10,5.0
2017-01-11,5.0
2017-01-12,5.0
2017-01-13,5.0
2017-01-14,6.0
2017-01-15,35.0
2017-01-16,19.0
2017-01-17,10.0
2017-01-18,7.0
2017-01-19,6.0
2017-01-20,7.0
2017-01-21,10.0
2017-01-22,47.0
2017-01-23,28.0
2017-01-24,26.0
2017-01-25,11.0
2017-01-26,8.0
2017-01-27,8.0
2017-01-28,8.0
2017-01-29,21.0
2017-01-30,9.0
2017-01-31,6.0
2017-02-01,5.0
2017-02-02,5.0
2017-02-03,5.0
2017-02-04,7.0
2017-02-05,74.0
2017-02-06,44.0
2017-02-07,32.0
2017-02-08,19.0
2017-02-09,14.0
2017-02-10,14.0
2017-02-11,19.0
2017-02-12,100.0
2017-02-13,35.0
2017-02-14,16.0
2017-02-15,11.0
2017-02-16,9.0
2017-02-17,9.0
2017-02-18,12.0
2017-02-19,37.0
2017-02-20,14.0
2017-02-21,8.0
2017-02-22,6.0
2017-02-23,6.0
2017-02-24,6.0
2017-02-25,9.0
2017-02-26,22.0
2017-02-27,8.0
2017-02-28,6.0
2017-03-01,4.996
2017-03-02,4.996
2017-03-03,5.2456
2017-03-04,7.244
2017-03-05,38.9688
2017-03-06,15.2376
2017-03-07,7.9936
2017-03-08,5.9952
2017-03-09,4.996
2017-03-10,5.496
2017-03-11,7.4936
2017-03-12,37.22
2017-03-13,20.7336
2017-03-14,10.7416
2017-03-15,6.7448
2017-03-16,5.9952
2017-03-17,6.9944
2017-03-18,8.992799999999999
2017-03-19,18.7352
2017-03-20,7.744
2017-03-21,5.9952
2017-03-22,4.996
2017-03-23,4.996
2017-03-24,4.996
2017-03-25,7.244
2017-03-26,16.9864
2017-03-27,6.2448
2017-03-28,5.9952
2017-03-29,5.2456
2017-03-30,4.7463999999999995
2017-03-31,5.2456
2017-04-01,6.7448
2017-04-02,12.979199999999999
2017-04-03,4.992
2017-04-04,4.4928
2017-04-05,4.4928
2017-04-06,4.4928
2017-04-07,4.4928
2017-04-08,6.489599999999999
2017-04-09,29.951999999999998
2017-04-10,13.977599999999999
2017-04-11,7.9872
2017-04-12,6.9887999999999995
2017-04-13,6.489599999999999
2017-04-14,6.9887999999999995
2017-04-15,9.4848
2017-04-16,49.919999999999995
2017-04-17,20.9664
2017-04-18,9.4848
2017-04-19,6.9887999999999995
2017-04-20,5.990399999999999
2017-04-21,5.4912
2017-04-22,6.9887999999999995
2017-04-23,12.979199999999999
2017-04-24,5.4912
2017-04-25,4.992
2017-04-26,4.992
2017-04-27,4.4928
2017-04-28,4.4928
2017-04-29,5.990399999999999
2017-04-30,11.4816
2017-05-01,4.992
2017-05-02,4.4928
2017-05-03,3.9936
2017-05-04,4.4928
2017-05-05,4.4928
2017-05-06,5.4912
2017-05-07,23.961599999999997
2017-05-08,10.9824
2017-05-09,6.489599999999999
2017-05-10,5.4912
2017-05-11,5.990399999999999
2017-05-12,8.4864
2017-05-13,9.984
2017-05-14,48.422399999999996
2017-05-15,17.9712
2017-05-16,9.4848
2017-05-17,6.9887999999999995
2017-05-18,6.489599999999999
2017-05-19,6.489599999999999
2017-05-20,7.9872
2017-05-21,35.4432
2017-05-22,16.9728
2017-05-23,9.984
2017-05-24,7.4879999999999995
2017-05-25,6.9887999999999995
2017-05-26,6.489599999999999
2017-05-27,7.4879999999999995
2017-05-28,8.9856
2017-05-29,5.990399999999999
2017-05-30,4.992
2017-05-31,4.992
2017-06-01,4.992
2017-06-02,4.992
2017-06-03,5.990399999999999
