date,fraud
2016-11-03,59.47853828306264
2016-11-04,58.50348027842227
2016-11-05,46.80278422273781
2016-11-06,42.90255220417633
2016-11-07,66.30394431554524
2016-11-08,79.95475638051043
2016-11-09,74.10440835266822
2016-11-10,69.22911832946636
2016-11-11,56.553364269141525
2016-11-12,41.927494199535964
2016-11-13,38.027262180974475
2016-11-14,53.62819025522042
2016-11-15,57.5284222737819
2016-11-16,60.453596287703014
2016-11-17,56.553364269141525
2016-11-18,55.57830626450116
2016-11-19,39.00232018561485
2016-11-20,38.027262180974475
2016-11-21,50.7030162412993
2016-11-22,55.57830626450116
2016-11-23,61.42865429234338
2016-11-24,44.85266821345707
2016-11-25,43.877610208816705
2016-11-26,40.95243619489559
2016-11-27,38.027262180974475
2016-11-28,69.22911832946636
