date,obama scam
2016-11-12,10.383701188455008
2016-11-13,30.207130730050935
2016-11-14,13.215619694397283
2016-11-15,22.183361629881155
2016-11-16,13.215619694397283
2016-11-17,17.935483870967744
2016-11-18,8.967741935483872
2016-11-19,10.383701188455008
2016-11-20,9.911714770797962
2016-11-21,8.967741935483872
2016-11-22,8.495755517826826
2016-11-23,17.463497453310698
2016-11-24,8.967741935483872
2016-11-25,8.967741935483872
2016-11-26,9.911714770797962
2016-11-27,9.911714770797962
2016-11-28,0.0
2016-11-29,8.495755517826826
2016-11-30,8.967741935483872
2016-12-01,8.967741935483872
2016-12-02,8.967741935483872
2016-12-03,19.823429541595925
2016-12-04,25.01528013582343
2016-12-05,13.215619694397283
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,13.687606112054329
2016-12-09,9.439728353140918
