date,hackers
2016-11-03,45.71820448877805
2016-11-04,40.63840399002493
2016-11-05,48.25810473815461
2016-11-06,39.79177057356608
2016-11-07,44.02493765586035
2016-11-08,42.33167082294264
2016-11-09,43.17830423940149
2016-11-10,42.33167082294264
2016-11-11,43.17830423940149
2016-11-12,40.63840399002493
2016-11-13,43.17830423940149
2016-11-14,43.17830423940149
2016-11-15,42.33167082294264
2016-11-16,44.02493765586035
2016-11-17,37.251870324189525
2016-11-18,43.17830423940149
2016-11-19,45.71820448877805
2016-11-20,41.48503740648379
2016-11-21,41.48503740648379
2016-11-22,38.098503740648376
2016-11-23,44.02493765586035
2016-11-24,36.40523690773067
2016-11-25,40.63840399002493
2016-11-26,38.94513715710723
2016-11-27,42.33167082294264
2016-11-28,44.02493765586035
