date,struck down
2017-05-02,28.224815759240066
2017-05-03,37.46202818953682
2017-05-04,37.46202818953682
2017-05-05,32.84342197438844
2017-05-06,14.882175582144763
2017-05-07,18.474424860593498
2017-05-08,28.224815759240066
2017-05-09,28.224815759240066
2017-05-10,18.98760332894332
2017-05-11,34.89613584778772
2017-05-12,35.92249278448736
2017-05-13,14.882175582144763
2017-05-14,26.17210188584079
2017-05-15,37.97520665788664
2017-05-16,18.98760332894332
2017-05-17,9.237212430296749
2017-05-18,22.579852607392052
2017-05-19,13.342640177095305
2017-05-20,14.882175582144763
2017-05-21,18.474424860593498
2017-05-22,28.224815759240066
2017-05-23,31.30388656933898
2017-05-24,18.98760332894332
2017-05-25,26.17210188584079
2017-05-26,24.11938801244151
2017-05-27,7.697677025247291
2017-05-28,19.500781797293136
2017-05-29,13.342640177095305
2017-05-30,12.829461708745486
2017-05-31,22.579852607392052
2017-06-01,25.65892341749097
2017-06-02,20.013960265642957
2017-06-03,14.882175582144763
