date,obama hand over
2016-11-20,5.5249999999999995
2016-11-21,0.0
2016-11-22,9.749999999999998
2016-11-23,9.749999999999998
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,5.5249999999999995
2016-11-27,5.5249999999999995
2016-11-28,0.0
2016-11-29,4.874999999999999
2016-11-30,0.0
2016-12-01,4.874999999999999
2016-12-02,0.0
2016-12-03,5.5249999999999995
2016-12-04,0.0
2016-12-05,4.874999999999999
2016-12-06,4.874999999999999
2016-12-07,4.874999999999999
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,4.874999999999999
2016-12-13,4.874999999999999
2016-12-14,4.874999999999999
2016-12-15,0.0
2016-12-16,5.199999999999999
2016-12-17,0.0
2016-12-18,5.5249999999999995
2016-12-19,4.874999999999999
